tp	fp	fn	precision	recall	balanced-f	submission
4276	4256	1673	0.501172058134083	0.718776264918474	0.590566949796285	user10_1A_1_closed
4208	3752	1741	0.528643216080402	0.707345772398722	0.605075850168955	user10_1A_2_closed
3519	2573	2430	0.577642810242942	0.591527987897126	0.584502948260111	user10_1A_3_closed
4788	1199	1161	0.799732754300985	0.804841149773071	0.802278820375335	user11_1A_1_closed
4807	1167	1142	0.804653498493472	0.808034963859472	0.806340686068942	user11_1A_2_closed
4948	1086	1001	0.82001988730527	0.831736426290133	0.825836601852625	user11_1A_3_closed
4834	1603	1115	0.750970949199938	0.812573541771726	0.780558695301147	user11_1A_4_open
4278	1853	1671	0.697765454248899	0.719112455874937	0.708278145695364	user12_1A_1_closed
4200	1644	1749	0.718685831622177	0.706001008572869	0.712286949885525	user12_1A_2_closed
3673	1138	2276	0.763458740386614	0.617414691544797	0.68271375464684	user12_1A_3_closed
4324	1664	1625	0.722110888443554	0.726844847873592	0.724470134874759	user12_1A_4_open
4412	939	1537	0.824518781536161	0.741637249957976	0.780884955752212	user13_1A_1_open
4422	951	1527	0.823003908431044	0.743318204740293	0.781134075251722	user13_1A_2_open
4407	951	1542	0.822508398656215	0.740796772566818	0.779517113292651	user13_1A_3_open
2486	684	3463	0.784227129337539	0.417885358883846	0.545235223160434	user18_1A_1_open
4768	1159	1181	0.804454192677577	0.801479240208438	0.802963960929606	user1_1A_1_closed
4841	1185	1108	0.803352140723531	0.813750210119348	0.808517745302714	user1_1A_2_open
4791	1177	1158	0.802781501340483	0.805345436207766	0.804061424855249	user1_1A_3RL_closed
4868	1211	1081	0.800789603553216	0.818288788031602	0.809444629198537	user1_1A_4_open
1973	11079	3976	0.151164572479314	0.331652378551017	0.207673280353666	user21_1A_1RL_closed
2117	17746	3832	0.106580073503499	0.355858127416373	0.16403223306989	user21_1A_1_closed
2568	4116	3381	0.384201077199282	0.43166918809884	0.406554262645452	user21_1A_2RL_open
2716	13337	3233	0.169189559583878	0.456547318877122	0.246886646668485	user21_1A_2_open
3379	7071	2570	0.323349282296651	0.567994620944697	0.412098298676749	user25_1A_1_closed
3372	7347	2577	0.314581584102995	0.566817952597075	0.404607631389489	user25_1A_2_closed
3444	7647	2505	0.310522044901271	0.578920827029753	0.404225352112676	user25_1A_3_closed
4648	1880	1301	0.712009803921569	0.781307782820642	0.745050893644306	user26_1A_baseline_closed
4752	1685	1197	0.738232095696753	0.798789712556732	0.767317939609236	user26_1A_heuristic_open
4671	1938	1278	0.706763504312301	0.78517397881997	0.743908265647396	user26_1A_tuned_closed
4066	3263	1883	0.554782371401283	0.68347621448983	0.612441632776021	user27_1A_1unofficial_open
4075	1016	1874	0.800432135140444	0.684989073793915	0.738224637681159	user2_1A_1_open
4145	2360	1804	0.637202152190623	0.696755757270129	0.665649590493014	user2_1A_2_open
4194	2440	1755	0.632197769068435	0.70499243570348	0.666613685130732	user2_1A_3_open
4053	3212	1896	0.557880247763248	0.681290973272819	0.613440290600878	user3_1A_1_open
5080	1338	869	0.791523839202244	0.853925029416709	0.821541198350449	user5_1A_1f_closed
4969	1033	980	0.827890703098967	0.835266431332997	0.831562212367166	user5_1A_2f_open
4790	971	1159	0.831452872765145	0.805177340729534	0.818104184457728	user5_1A_3_open
4844	915	1105	0.841118249696128	0.814254496554043	0.827468397676802	user5_1A_4_open
4096	694	1853	0.855114822546973	0.688519078836779	0.762827078871403	user6_1A_1_closed
4269	798	1680	0.84251036116045	0.717599596570852	0.775054466230937	user6_1A_2_closed
4528	999	1421	0.819250949882396	0.761136325432846	0.789125130707564	user8_1A_1_closed
4662	855	1287	0.845024469820555	0.783661119515885	0.813186813186813	user8_1A_1_open
4601	944	1348	0.8297565374211	0.773407295343755	0.800591613015486	user8_1A_2_closed
4683	737	1266	0.864022140221402	0.787191124558749	0.823819157357727	user8_1A_2_open
