	a101	a102	a105	a107	a108
7884	101	102	101	101	101
7885	101	101	101	101	101
7886	999	999	999	999	999
7887	101	101	101	101	101
7888	102	102	102	999	102
7889	101	102	101	101	101
7890	999	999	999	999	999
7891	101	101	101	101	101
7892	101	101	102	102	101
7893	101	101	101	101	101
7894	999	\N	999	999	999
7895	101	101	101	101	101
7896	101	101	101	101	101
7897	102	102	105	102	102
7898	101	101	101	101	101
7899	999	999	102	102	999
7900	999	999	999	999	999
7901	101	999	999	101	999
7902	101	101	101	101	101
7903	108	101	101	101	101
7904	102	102	102	102	999
7905	999	101	101	101	101
7906	102	101	102	102	999
7907	102	999	102	102	999
7908	102	999	102	102	999
8008	101	101	101	101	101
8009	105	102	105	102	102
8010	101	101	101	101	101
8011	101	101	101	101	101
8012	101	101	101	101	101
8013	105	105	105	105	105
8014	102	999	102	102	999
8015	102	102	102	102	102
8016	105	105	105	105	105
8017	101	102	101	101	101
8018	999	999	999	999	999
8019	101	101	101	101	101
8020	101	101	101	101	101
8021	102	102	102	102	102
8022	101	101	101	101	101
8023	101	102	101	101	999
8024	999	102	101	101	999
8025	102	999	102	102	999
8026	999	102	101	101	999
8027	101	101	101	101	101
8028	101	101	101	101	101
8029	101	101	101	101	101
8030	101	101	101	101	101
8031	999	102	101	101	999
8032	101	101	101	101	101
8133	102	102	102	999	102
8134	999	999	999	999	999
8135	101	101	101	101	101
8136	101	101	101	101	101
8137	101	102	102	101	101
8138	101	101	101	101	101
8139	102	102	102	102	102
8140	101	101	101	101	101
8141	101	102	101	101	101
8142	101	102	101	101	101
8143	101	101	101	101	101
8144	101	101	101	101	101
8145	999	102	101	101	999
8146	101	101	101	101	101
8147	102	999	102	102	999
8148	102	102	102	999	102
8149	999	999	999	999	999
8150	102	102	102	102	102
8151	102	102	102	102	102
8152	105	105	105	105	105
8153	105	105	101	105	105
8154	102	102	102	101	102
8155	102	102	102	102	102
8156	105	101	102	102	999
8157	101	101	101	101	101
8257	101	101	101	101	999
8258	102	999	102	102	999
8259	101	101	101	101	101
8260	999	102	999	102	999
8261	999	101	101	101	999
8262	101	102	108	102	101
8263	101	101	102	101	101
8264	102	102	102	102	102
8265	102	102	101	101	101
8266	101	101	102	102	102
8267	101	102	101	101	101
8268	102	102	101	101	101
8269	101	999	102	102	999
8270	101	101	101	101	101
8271	101	102	999	101	999
8272	101	101	101	101	101
8273	101	101	101	108	108
8274	101	101	101	101	101
8275	101	101	102	102	102
8276	101	107	101	101	101
8277	999	999	999	103	999
8278	101	999	102	102	999
8279	101	999	102	102	999
8280	101	999	102	102	999
8281	101	105	101	101	101
