	a101	a102	a105	a107	a108
7909	101	103	101	103	103
7910	101	103	101	103	103
7911	106	999	999	104	999
7912	999	103	999	101	999
7913	101	101	101	101	101
7914	104	109	109	109	999
7915	104	101	104	109	104
7916	104	109	109	109	999
7917	104	109	999	104	999
7918	999	109	104	101	999
7919	101	101	101	101	101
7920	101	104	104	101	104
7921	101	101	101	101	103
7922	101	103	101	103	103
7923	104	999	104	104	104
7924	103	103	101	101	103
7925	103	101	101	101	103
7926	103	103	103	103	103
7927	101	104	101	103	104
7928	101	105	105	101	103
7929	101	103	101	101	101
7930	101	999	999	101	999
7931	104	999	104	104	104
7932	101	101	101	104	101
7933	101	101	101	101	101
8033	104	104	104	104	104
8034	104	104	104	104	104
8035	104	109	104	104	104
8036	104	109	104	111	111
8037	999	109	104	104	109
8038	104	109	104	104	104
8039	104	104	111	111	111
8040	104	109	104	104	104
8041	999	109	104	110	107
8042	999	109	104	101	101
8043	101	101	101	101	101
8044	999	109	999	101	999
8045	101	103	101	101	101
8046	101	103	101	101	101
8047	104	109	104	109	109
8048	101	101	101	101	103
8049	101	103	101	101	101
8050	101	101	101	101	101
8051	104	109	104	104	109
8052	103	103	101	103	101
8053	104	109	104	104	104
8054	101	103	101	101	101
8055	999	109	104	101	101
8056	103	101	101	101	103
8057	999	109	109	109	999
8158	101	105	101	101	103
8159	999	101	101	101	999
8160	104	999	101	104	104
8161	103	107	101	999	999
8162	999	999	999	104	999
8163	101	104	103	101	103
8164	101	101	103	103	103
8165	102	102	999	102	102
8166	999	109	104	109	999
8167	999	999	104	104	104
8168	103	103	103	103	103
8169	101	101	101	101	999
8170	104	999	104	104	104
8171	104	109	104	104	104
8172	101	103	103	103	103
8173	101	103	101	101	101
8174	101	103	101	101	101
8175	104	109	104	104	104
8176	999	101	999	104	999
8177	101	103	101	101	101
8178	101	103	101	101	101
8179	101	101	101	101	105
8180	103	101	101	103	103
8181	101	101	101	101	101
8282	104	104	104	104	104
8283	999	109	109	104	999
8284	101	101	101	101	101
8285	101	103	101	103	101
8286	102	102	999	102	102
8287	104	104	104	104	104
8288	999	103	103	101	101
8289	102	102	103	102	102
8290	101	101	101	101	104
8291	105	105	105	105	105
8292	101	103	101	101	101
8293	103	101	101	101	101
8294	104	999	104	104	104
8295	104	999	104	104	104
8296	999	102	104	101	104
8297	103	103	103	101	999
8298	101	101	103	101	101
8299	101	101	101	103	101
8300	101	103	101	101	101
8301	101	103	101	101	101
8302	104	104	104	104	104
8303	101	103	109	101	101
8304	101	101	103	101	999
8305	101	103	101	101	101
8306	101	101	101	101	101
