	a101	a102	a103	a105	a107	a108
8382	106	104	103	106	105	105
8383	101	101	101	101	101	101
8384	101	101	101	103	101	102
8385	105	104	105	106	103	103
8386	104	104	104	104	104	104
8387	999	104	106	106	999	999
8388	104	104	104	104	104	999
8389	104	104	104	104	104	104
8390	999	999	999	999	999	999
8391	101	103	103	103	101	107
8392	104	104	104	102	104	101
8393	104	104	104	104	104	104
8394	999	999	999	999	999	999
8395	101	104	101	102	102	102
8396	105	104	101	103	101	101
8397	105	105	105	105	109	105
8398	101	104	101	102	102	102
8399	101	101	101	103	101	102
8400	101	101	101	103	101	102
8401	105	106	105	105	106	999
8402	104	104	104	104	104	104
8403	101	103	101	102	101	103
8404	103	104	105	102	105	105
8405	101	102	999	102	999	999
8406	103	109	109	103	103	103
8507	999	999	999	999	999	999
8508	999	104	999	999	104	999
8509	105	102	102	102	102	102
8510	105	105	105	106	103	105
8511	105	105	106	103	105	105
8512	105	106	106	105	109	108
8513	105	102	104	105	105	105
8514	106	106	106	106	106	105
8515	101	999	999	104	101	107
8516	104	102	102	102	104	102
8517	105	104	104	104	103	104
8518	104	104	104	104	104	104
8519	105	106	106	106	106	106
8520	105	104	104	101	104	101
8521	101	101	101	101	101	101
8522	101	101	101	101	101	107
8523	106	106	106	106	106	106
8524	105	103	101	101	103	103
8525	999	999	999	999	999	999
8526	105	105	104	103	106	104
8527	104	104	104	104	104	104
8528	105	105	105	103	103	105
8529	101	101	101	101	101	101
8530	106	106	106	106	106	106
8531	106	104	102	101	101	105
8632	106	999	106	106	106	999
8633	101	101	101	105	105	107
8634	104	104	104	104	104	104
8635	101	999	101	999	999	999
8636	102	102	102	102	102	111
8637	105	109	105	105	105	109
8638	106	106	106	106	106	105
8639	106	106	106	106	106	106
8640	102	102	106	102	106	106
8641	101	104	101	105	101	107
8642	101	101	101	101	101	101
8643	103	103	103	105	109	103
8644	101	101	101	101	101	102
8645	104	103	104	105	104	104
8646	105	103	101	105	105	105
8647	101	102	101	101	101	105
8648	106	106	106	106	106	105
8649	101	101	101	101	101	102
8650	101	101	101	101	101	101
8651	104	104	104	104	104	104
8652	105	106	105	105	105	105
8653	104	102	102	102	102	111
8654	105	105	105	105	103	106
8655	104	104	104	104	104	104
8656	101	101	101	101	101	102
8756	104	104	104	104	104	102
8757	101	101	101	101	101	102
8758	105	109	106	105	106	105
8759	999	999	999	999	999	999
8760	106	106	105	103	106	999
8761	101	102	102	111	102	111
8762	105	101	103	105	105	105
8763	104	102	999	104	104	104
8764	101	101	101	101	101	101
8765	101	104	104	104	101	104
8766	104	104	104	104	104	104
8767	104	104	104	104	104	104
8768	101	104	102	101	101	107
8769	105	105	105	105	101	103
8770	105	104	106	106	106	105
8771	105	105	105	109	103	105
8772	102	102	102	102	102	102
8773	101	999	101	101	999	999
8774	101	101	101	101	101	101
8775	105	108	103	109	106	105
8776	999	999	999	999	999	999
8777	105	106	106	109	106	109
8778	101	102	101	102	102	102
