	a101	a102	a103	a105	a107	a108
8407	101	101	101	101	101	999
8408	102	102	102	102	102	102
8409	101	101	101	101	101	999
8410	101	101	101	101	101	999
8411	102	102	102	102	102	102
8412	101	101	101	101	101	999
8413	101	101	101	101	101	101
8414	102	102	102	102	102	102
8415	101	102	101	101	101	102
8416	101	101	101	999	101	999
8417	102	102	102	102	102	102
8418	102	102	102	102	102	102
8419	102	102	102	102	102	102
8420	102	102	102	102	102	102
8421	101	101	101	999	101	999
8422	101	101	101	101	101	999
8423	101	101	101	101	101	999
8424	101	101	101	108	101	999
8425	101	101	101	101	101	101
8426	101	101	101	101	101	101
8427	999	101	102	999	999	999
8428	102	102	102	102	102	102
8429	102	102	102	102	102	102
8430	101	101	101	101	101	101
8431	102	102	102	102	102	102
8532	101	101	101	101	101	101
8533	102	102	102	102	102	102
8534	101	101	101	101	101	101
8535	101	101	101	101	101	101
8536	101	101	101	101	101	101
8537	101	101	999	102	999	999
8538	102	102	101	101	102	102
8539	101	101	101	101	101	101
8540	101	101	101	101	101	999
8541	102	102	102	102	102	102
8542	101	101	101	101	101	101
8543	101	101	101	101	101	999
8544	101	101	101	101	101	101
8545	101	101	101	101	101	101
8546	101	101	101	101	101	999
8547	101	101	101	101	101	999
8548	101	102	102	102	102	102
8549	101	101	101	999	101	101
8550	102	102	102	102	102	102
8551	101	101	101	999	101	999
8552	102	102	102	102	102	102
8553	102	102	102	102	102	102
8554	101	101	101	101	101	101
8555	101	101	101	101	101	999
8556	101	101	101	101	101	101
8657	102	102	102	102	102	102
8658	102	102	102	102	102	102
8659	101	101	101	101	101	101
8660	102	102	102	102	102	102
8661	101	101	101	101	101	999
8662	101	101	101	999	999	999
8663	101	101	101	101	101	101
8664	102	102	102	102	102	102
8665	101	101	101	999	999	999
8666	101	101	101	101	101	101
8667	101	101	101	101	101	101
8668	102	103	102	103	103	102
8669	101	101	101	101	101	101
8670	101	101	101	101	101	101
8671	101	101	101	101	101	999
8672	102	102	102	102	102	102
8673	101	101	101	101	101	999
8674	101	101	101	101	101	999
8675	101	101	101	101	101	101
8676	999	999	999	999	999	999
8677	102	102	102	102	102	102
8678	101	101	101	101	101	999
8679	101	101	101	101	101	101
8680	102	101	101	102	102	999
8779	101	101	101	101	101	101
8780	101	101	101	101	101	999
8781	102	102	102	102	102	102
8782	102	102	102	102	102	102
8783	101	101	101	101	101	999
8784	101	101	101	101	101	999
8785	101	101	101	101	101	101
8786	102	101	101	101	101	999
8787	102	102	102	999	102	999
8788	102	102	102	102	102	102
8789	101	101	101	101	101	999
8790	102	102	102	102	101	102
8791	102	102	102	102	102	102
8792	101	101	101	101	101	999
8793	102	102	102	102	103	102
8794	101	101	101	101	101	999
8795	102	102	102	102	102	102
8796	102	103	102	103	103	102
8797	102	103	102	103	102	102
8798	101	101	101	101	101	999
8799	102	102	102	102	102	102
8800	101	101	101	101	101	101
8801	102	102	101	102	102	999
8802	102	102	102	102	102	102
8803	101	101	101	101	101	101
