	a101	a102	a105	a107	a108	a1001	a1002	a1003	a1004	a1005	a1006	a1007	a1008	a1009	a1010	a1011	a1012	a1013	a1014
7884	101	102	101	101	101	102	101	102	101	108	101	108	101	101	101	106	101	101	102
7885	101	101	101	101	101	101	101	101	101	106	101	101	101	108	101	104	101	101	101
7886	999	999	999	999	999	997	999	999	996	104	999	999	997	999	999	104	999	997	999
7887	101	101	101	101	101	108	101	101	101	102	101	108	101	108	101	102	101	101	101
7888	102	102	102	999	102	102	102	102	102	101	102	102	102	102	102	104	102	102	102
7889	101	102	101	101	101	101	101	101	101	103	101	101	996	101	101	102	101	101	108
7890	999	999	999	999	999	997	999	999	996	105	999	999	997	999	999	103	999	997	999
7891	101	101	101	101	101	101	101	101	101	107	101	101	101	101	101	103	101	101	101
7892	101	101	102	102	101	101	996	108	101	109	102	101	101	101	101	103	101	101	108
7893	101	101	101	101	101	108	101	101	101	996	101	108	101	108	101	104	101	101	101
7894	999		999	999	999	997	999	999	996	106	999	999	997	999	999	104	999	997	999
7895	101	101	101	101	101	108	108	108	101	102	101	108	101	108	101	103	101	996	101
7896	101	101	101	101	101	102	102	101	101	110	101	101	101	104	101	101	101	101	108
7897	102	102	105	102	102	105	102	102	101	998	102	102	102	102	105	104	102	105	101
7898	101	101	101	101	101	108	108	101	101	108	101	108	101	108	101	101	101	996	101
7899	999	999	102	102	999	101	102	108	101	102	101	101	101	102	101	105	105	101	108
7900	999	999	999	999	999	997	999	999	996	103	999	999	997	999	999	104	999	997	999
7901	101	999	999	101	999	108	101	101	101	998	101	101	101	101	101	104	101	101	108
7902	101	101	101	101	101	102	101	101	101	106	101	102	101	107	101	103	101	101	102
7903	108	101	101	101	101	101	101	101	101	104	101	101	101	108	101	103	101	101	101
7904	102	102	102	102	999	102	102	108	101	102	101	101	101	102	101	106	102	101	108
7905	999	101	101	101	101	101	101	101	101	110	101	101	101	101	101	106	101	101	101
7906	102	101	102	102	999	102	101	102	101	998	101	101	101	102	101	102	101	101	108
