	a101	a102	a103	a105	a107	a108	a1001	a1002	a1003	a1004	a1005	a1006	a1007	a1008	a1009	a1010	a1011	a1012	a1013
8407	101	101	101	101	101	102	107	101	106	101	101	997	107	107	101	101	105	997	101
8408	102	102	102	102	102	102	106	102	102	109	102	102	104	106	102	102	105	102	102
8409	101	101	101	101	101	102	107	101	106	101	101	997	105	107	101	101	103	997	101
8410	101	101	101	101	101	999	107	101	106	101	101	997	102	107	101	101	105	997	101
8411	102	102	102	102	102	101	107	102	102	103	103	102	104	106	102	102	102	102	102
8412	101	101	101	101	101	101	107	101	106	101	101	997	103	104	101	101	109	997	101
8413	101	101	101	101	101	999	106	101	101	101	101	101	105	105	101	101	106	101	101
8414	102	102	102	102	102	101	107	102	102	103	102	102	103	104	102	102	105	102	102
8415	101	102	101	101	101	102	107	101	107	101	101	998	101	105	109	109	104	101	101
8416	101	101	101	999	101	102	107	101	106	101	101	101	103	108	101	101	102	101	101
8417	102	102	102	102	102	101	107	102	109	109	102	102	109	109	103	102	104	109	109
8418	102	102	102	102	102	999	106	102	102	102	102	102	103	106	102	102	103	102	102
8419	102	102	102	102	102	999	107	102	102	102	102	102	102	106	102	102	102	102	102
8420	102	102	102	102	102	999	106	102	102	102	102	102	104	105	102	102	102	102	102
8421	101	101	101	999	101	999	107	101	108	108	996	996	102	106	108	101	104	101	101
8422	101	101	101	101	101	101	106	101	106	101	101	997	107	106	101	101	102	997	101
8423	101	101	101	101	101	102	107	101	107	101	101	997	106	105	101	101	104	101	101
8424	101	101	101	108	101	101	106	101	101	108	996	996	104	106	108	101	106	101	101
8425	101	101	101	101	101	102	108	101	106	101	101	101	106	105	101	101	102	101	101
8426	101	101	101	101	101	101	106	101	109	101	101	101	104	106	108	101	103	101	101
8427	999	101	102	999	999	102	108	102	101	102	101	996	102	109	101	102	103	101	109
8428	102	102	102	102	102	102	107	102	102	102	102	102	102	108	102	102	102	997	102
8429	102	102	102	102	102	999	107	102	102	103	102	102	105	108	102	102	105	102	102
8430	101	101	101	101	101	999	106	101	101	101	101	101	102	107	101	101	101	101	101
8431	102	102	102	102	102	102	106	102	102	103	102	102	106	102	102	102	102	102	996
8532	101	101	101	101	101	102	107	101	101	101	101	101	107	104	101	101	104	101	101
8533	102	102	102	102	102	101	107	102	102	102	102	102	105	105	102	102	104	102	102
8534	101	101	101	101	101	102	106	101	101	101	101	101	103	106	101	101	104	101	109
8535	101	101	101	101	101	999	106	101	104	101	101	101	108	107	101	101	103	101	101
8536	101	101	101	101	101	102	108	101	106	101	101	101	103	106	108	101	102	101	101
8537	101	101	999	102	999	101	106	101	101	101	101	997	103	108	996	101	106	101	109
8538	102	102	101	101	102	102	107	101	102	109	102	102	102	107	109	102	106	101	109
8539	101	101	101	101	101	101	106	101	101	102	101	101	104	105	101	101	106	101	101
8540	101	101	101	101	101	999	106	101	101	108	996	996	102	107	108	101	103	101	101
8541	102	102	102	102	102	999	107	102	102	103	102	102	107	104	102	102	101	102	102
8542	101	101	101	101	101	999	107	101	101	101	101	101	106	107	101	101	103	101	101
8543	101	101	101	101	101	101	106	101	106	108	996	996	103	108	108	101	102	101	101
8544	101	101	101	101	101	102	107	101	101	101	101	101	102	107	101	101	105	101	101
8545	101	101	101	101	101	999	106	101	101	109	101	101	103	107	101	101	102	101	101
8546	101	101	101	101	101	102	108	101	106	101	101	997	105	107	109	101	102	997	101
8547	101	101	101	101	101	101	105	101	106	101	101	997	104	107	104	101	104	997	101
8548	101	102	102	102	102	102	107	102	109	103	105	102	104	107	103	102	104	101	109
8549	101	101	101	999	101	999	107	101	106	101	101	101	102	107	101	101	104	101	101
8550	102	102	102	102	102	101	106	102	102	103	102	102	105	107	102	102	105	102	102
8551	101	101	101	999	101	999	108	101	106	108	109	101	104	106	101	101	104	101	101
8552	102	102	102	102	102	102	106	102	102	102	102	102	104	108	102	102	105	102	102
8553	102	102	102	102	102	102	106	102	102	102	102	102	106	107	102	102	106	102	102
8554	101	101	101	101	101	999	107	101	107	101	109	101	107	107	109	101	105	101	109
8555	101	101	101	101	101	999	109	101	106	108	996	101	105	106	108	101	104	101	101
8556	101	101	101	101	101	101	106	101	102	109	101	101	104	106	109	101	104	101	101
8657	102	102	102	102	102	999	107	102	102	102	102	102	104	107	101	102	103	102	102
8658	102	102	102	102	102	999	108	102	102	102	102	102	103	107	102	102	103	102	102
8659	101	101	101	101	101	999	106	101	101	101	101	101	106	106	101	101	105	101	101
8660	102	102	102	102	102	101	106	102	102	102	102	102	105	105	998	102	102	102	102
8661	101	101	101	101	101	102	107	101	106	101	996	996	102	104	101	101	103	101	109
8662	101	101	101	999	999	101	107	101	106	108	996	996	101	106	101	101	102	101	101
8663	101	101	101	101	101	999	107	101	101	101	101	101	102	105	101	101	104	101	103
8664	102	102	102	102	102	102	106	102	102	109	102	102	103	105	109	102	106	101	103
8665	101	101	101	999	999	102	108	101	106	101	101	101	104	108	101	101	105	101	101
8666	101	101	101	101	101	101	108	101	101	101	101	101	105	106	101	101	103	101	101
8667	101	101	101	101	101	102	107	101	106	101	101	101	103	996	101	101	105	101	101
8668	102	103	102	103	103	101	106	102	102	102	103	103	103	109	103	102	104	103	102
8669	101	101	101	101	101	999	107	101	106	101	101	101	102	109	101	101	102	101	103
8670	101	101	101	101	101	999	108	101	101	101	101	101	104	108	101	101	103	101	101
8671	101	101	101	101	101	102	107	101	106	101	101	997	102	108	109	101	103	997	101
8672	102	102	102	102	102	102	108	101	102	996	102	102	104	109	109	102	102	101	103
8673	101	101	101	101	101	999	107	101	102	999	998	997	105	109	101	101	103	997	101
8674	101	101	101	101	101	999	106	101	106	101	101	997	106	107	101	101	104	997	101
8675	101	101	101	101	101	102	107	101	101	101	101	101	103	997	101	101	105	101	101
8676	999	999	999	999	999	999	107	999	104	105	999	997	102	109	108	999	102	997	999
8677	102	102	102	102	102	102	107	102	106	102	102	102	103	106	102	102	103	102	102
8678	101	101	101	101	101	101	107	101	102	102	101	101	105	105	102	101	102	102	102
8679	101	101	101	101	101	102	108	101	106	101	101	101	102	106	101	101	103	101	101
8680	102	101	101	102	102	999	105	102	102	102	102	102	103	106	102	102	107	102	101
8681	999	102	102		103	999	105	102	102	999	996	103	104	106	996	102	105	102	102
8779	101	101	101	101	101	999	106	101	108	999	101	101	105	106	109	101	105	109	101
8780	101	101	101	101	101	102	106	101	107	101	101	101	107	108	101	101	104	101	101
8781	102	102	102	102	102	102	107	102	107	102	102	102	102	996	102	102	102	102	102
8782	102	102	102	102	102	102	105	102	104	102	102	102	104	108	102	102	103	102	101
8783	101	101	101	101	101	102	106	101	106	108	996	101	102	107	108	101	103	101	101
8784	101	101	101	101	101	999	106	101	106	108	996	101	105	106	108	101	104	101	101
8785	101	101	101	101	101	101	107	101	109	101	109	101	102	105	109	101	105	101	101
8786	102	101	101	101	101	102	105	102	102	102	101	102	104	106	102	102	102	101	101
8787	102	102	102	999	102	101	107	102	102	102	996	102	103	107	102	102	102	102	102
8788	102	102	102	102	102	101	106	102	102	103	101	102	104	108	102	102	103	997	102
8789	101	101	101	101	101	999	107	101	101	101	102	996	105	996	101	101	103	101	101
8790	102	102	102	102	101	101	108	102	107	102	102	102	106	108	108	102	102	102	109
8791	102	102	102	102	102	999	106	101	106	109	102	102	105	107	109	102	102	101	106
8792	101	101	101	101	101	999	106	101	106	102	101	997	103	108	101	101	103	997	101
8793	102	102	102	102	103	102	107	102	102	103	103	103	104	104	103	102	102	103	102
8794	101	101	101	101	101	102	107	101	106	101	101	997	104	106	101	101	105	997	101
8795	102	102	102	102	102	101	106	102	102	102	102	102	105	105	102	102	103	102	102
8796	102	103	102	103	103	101	107	102	102	103	103	103	104	106	102	102	104	103	102
8797	102	103	102	103	102	999	107	102	103	103	102	102	102	108	102	102	103	102	102
8798	101	101	101	101	101	999	107	101	101	108	996	101	104	996	108	101	105	101	101
8799	102	102	102	102	102	999	107	102	102	103	102	102	105	105	102	102	106	102	102
8800	101	101	101	101	101	101	108	101	101	101	101	101	106	106	101	101	107	101	101
8801	102	102	101	102	102	101	106	101	107	999	102	996	107	105	102	102	108	102	999
8802	102	102	102	102	102	999	107	102	102	102	102	102	105	104	102	102	106	102	102
8803	101	101	101	101	101	102	108	101	101	101	101	101	103	105	101	101	106	101	101
