	a101	a102	a103	a105	a107	a108	a3124	a3117	a3119	a3130	a3129	a3125	a3123	a3118	a3128	a3101	a3122	a3127	a3126	a3104	a3131
8432	101	101	101	101	101	101	102	105	101	105	101	102	102	102	101	104	102	101	105	101	102
8433	101	101	101	101	101	101	101	105	101	105	103	996	101	105	101	104	101	999	102	101	101
8434	102	102	101	101	101	101	102	106	101	104	102	105	102	102	104	105	101	102	103	102	103
8435	999	102	102	101	102	999	104	106	104	103	105	102	102	105	102	104	102	998	997	102	102
8436	999	102	102	101	102	999	104	104	104	104	103	103	103	106	103	105	102	104	997	103	104
8437	101	101	101	101	101	101	103	105	104	101	103	104	101	104	101	105	101	101	997	102	101
8438	999	103	103	103	101	103	101	106	104	104	104	996	101	103	106	104	103	998	103	103	104
8439	101	101	101	101	101	101	102	996	101	105	101	105	102	996	103	102	102	105	105	101	101
8440	102	101	102	102	102	102	996	104	102	105	101	103	102	102	105	104	102	996	104	101	102
8441	101	101	101	101	103	101	102	105	101	105	105	101	102	105	104	102	103	101	102	102	103
8442	103	103	103	103	101	103	104	105	103	104	104	102	103	104	101	102	104	102	101	104	101
8443	999	102	102	101	102	101	102	106	102	104	105	101	102	105	102	102	102	101	102	102	102
8444	101	101	103	101	101	999	102	998	101	104	102	102	103	106	102	103	104	103	102	101	997
8445	101	102	101	102	101	101	101	105	101	104	105	102	101	102	103	102	102	103	105	101	102
8446	102	102	102	102	102	999	102	106	102	105	102	102	101	105	104	105	102	101	102	102	102
8447	102	102	101	101	101	101	101	106	101	103	101	103	101	105	105	103	102	103	105	102	101
8448	101	102	101	101	101	101	101	106	101	105	101	105	101	106	106	102	101	103	101	101	101
8449	103	103	103	103	101	103	103	997	103	105	105	103	103	997	102	106	103	103	101	104	101
8450	103	102	102	102	102	999	104	998	104	105	103	103	102	104	102	104	102	998	104	104	102
8451	101	104	103	104	101	103	101	104	103	105	105	996	103	103	105	102	103	104	101	104	101
8452	102	101	101	101	101	101	102	105	101	104	101	105	102	102	101	103	102	101	102	102	103
8453	101	101	101	101	101	101	102	105	101	104	102	102	102	101	102	104	102	101	102	101	103
8454	101	103	103	104	101	999	103	106	103	103	103	996	101	103	104	103	103	998	103	103	101
8455	101	102	101	101	101	101	102	106	101	105	101	996	101	104	103	103	102	101	102	101	103
8456	102	102	102	102	102	102	102	997	102	104	102	997	102	105	101	105	102	102	102	102	102
8557	105	105	101	105	101	105	101	106	105	105	105	105	105	103	101	105	105	105	101	101	101
8558	101	101	101	101	102	999	102	105	101	104	101	106	103	105	105	104	102	998	105	102	102
8559	102	102	102	102	102	102	104	996	104	105	102	103	104	104	105	104	102	102	103	102	102
8560	101	101	101	101	101	101	101	997	104	104	101	104	101	996	103	103	101	999	103	101	101
8561	101	101	101	101	101	101	102	104	101	104	105	102	102	105	102	102	102	101	105	102	103
8562	999	102	102	102	102	999	104	103	104	105	104	103	102	102	101	105	102	104	997	104	104
8563	103	999	103	102	999	999	101	104	101	103	103	104	103	101	101	105	997	104	103	104	104
8564	101	102	103	104	101	999	105	106	103	105	103	997	103	104	102	105	104	999	101	102	104
8565	103	102	103	103	101	103	103	106	103	104	103	104	103	106	102	105	103	996	101	101	103
8566	103	102	103	103	101	103	102	997	103	104	104	104	103	102	106	105	102	103	101	102	103
8567	101	101	101	101	101	101	102	106	101	105	105	103	101	106	106	106	101	101	103	101	101
8568	103	104	103	101	101	103	104	105	103	105	103	996	103	997	102	105	104	104	101	103	103
8569	103	102	103	103	102	103	103	997	104	105	105	104	102	106	102	102	102	998	101	101	102
8570	101	102	101	101	101	101	102	997	101	105	102	102	101	105	103	103	101	102	102	102	102
8571	103	102	103	104	101	103	103	996	103	105	106	105	103	103	106	106	104	101	101	104	103
8572	101	101	101	101	101	101	101	103	101	105	101	101	102	105	101	104	102	101	102	101	101
8573	101	101	101	101	101	101	101	106	101	105	101	102	102	105	102	103	101	101	102	101	101
8574	999	102	102	102	102	999	104	106	102	105	103	103	102	103	104	105	102	104	997	104	104
8575	103	103	103	103	101	103	104	106	103	105	103	105	103	106	104	103	104	998	101	104	103
8576	101	102	101	102	999	999	102	996	101	106	104	103	102	105	102	105	997	102	105	102	101
8577	103	103	103	103	101	103	103	996	103	105	103	104	103	103	104	104	104	104	104	104	103
8578	103	104	103	103	101	103	105	106	103	105	105	103	102	105	102	105	103	996	101	104	103
8579	101	101	101	101	101	101	104	106	101	104	105	996	101	103	103	103	101	999	102	103	101
8580	101	101	101	101	101	101	101	996	101	103	101	105	102	105	102	104	101	101	105	101	101
8581	101	101	101	101	101	101	101	997	101	103	101	102	102	102	106	102	101	101	102	101	101
8682	101	102	101	101	101	101	101	106	101	104	101	102	101	102	101	104	101	102	102	101	101
8683	102	102	102	101	101	102	102	104	102	105	104	102	104	103	105	103	102	999	997	102	102
8684	101	101	101	101	101	101	101	105	101	105	104	103	101	104	105	104	101	101	997	101	101
8685	101	101	101	101	101	101	102	996	101	104	102	106	102	105	101	104	102	999	101	101	102
8686	999	102	102	101	101	999	104	996	104	104	103	102	104	103	102	104	102	103	997	102	102
8687	103	103	103	102	103	103	103	106	103	104	103	101	103	102	104	103	103	102	101	102	103
8688	101	102	101	101	101	101	102	997	101	105	105	104	101	105	102	104	102	101	103	101	101
8689	101	103	103	101	103	103	104	103	103	105	103	101	103	105	105	105	103	103	103	104	103
8690	101	101	101	101	101	101	101	104	101	105	101	101	101	102	106	104	102	101	102	102	101
8691	103	101	103	101	103	103	105	106	103	105	103	104	103	105	101	103	103	105	103	101	103
8692	101	101	101	101	101	101	102	103	101	105	102	102	101	102	103	104	101	101	105	101	101
8693	102	102	102	102	102	102	102	105	102	105	102	102	102	105	103	102	102	102	102	102	102
8694	103	104	103	102	102	103	101	105	104	103	103	104	102	105	105	104	102	104	103	103	104
8695	105	105	101	105	105	105	105	104	105	103	105	105	105	102	996	102	105	105	102	102	101
8696	103	103	103	103	103	103	104	104	103	103	105	104	103	106	105	105	104	104	101	103	103
8697	103	101	103	103	103	103	105	996	103	101	103	996	103	103	104	103	103	101	101	101	103
8698	102	103	103	103	103	103	103	106	103	102	103	996	102	105	103	104	103	998	101	103	104
8699	102	102	101	104	101	999	102	998	101	104	102	104	101	102	103	103	101	996	103	102	104
8700	103	103	103	103	103	103	102	997	103	104	105	104	103	101	103	102	103	104	101	103	104
8701	999	102	102	102	102	999	102	103	104	103	103	102	102	103	106	102	102	996	997	102	102
8702	999	102	102	102	102	999	104	103	104	105	103	101	102	103	101	104	102	998	997	102	104
8703	102	102	102	102	102	102	104	105	104	105	102	102	102	102	102	104	102	102	997	102	102
8704	102	102	102	102	102	102	102	996	101	105	102	102	102	104	103	104	102	102	102	102	102
8705	103	103	103	103	103	103	103	105	103	105	105	103	103	102	104	102	104	103	101	104	103
8706	101	101	101	101	101	101	102	103	999	104	101	102	102	103	105	102	102	105	101	101	103
8804	102	102	102	102	102	102	102	106	102	103	102	102	102	104	106	102	102	102	102	102	102
8805	101	101	101	101	101	101	102	997	101	105	101	103	102	105	105	104	101	101	102	102	101
8806	101	101	101	101	101	101	101	104	101	106	101	102	101	101	104	996	101	101	102	101	101
8807	102	999	103	103	101	999	103	104	104	105	103	996	102	102	103	106	102	104	101	104	103
8808	103	101	103	103	103	103	105	106	101	104	103	105	103	105	102	103	104	101	101	103	103
8809	102	102	102	102	104	999	102	104	104	105	104	104	104	102	101	103	102	102	997	102	102
8810	103	103	103	101	101	103	104	105	103	104	103	105	103	105	105	105	104	104	103	103	103
8811	999	102	103	104	101	999	104	106	104	104	104	103	103	106	104	105	104	104	997	104	104
8812	103	103	103	101	101	101	103	105	103	104	103	996	103	102	102	104	101	103	103	104	101
8813	102	104	102	104	102	104	102	105	104	105	102	103	104	103	103	106	102	104	104	102	104
8814	103	102	102	102	102	102	101	996	104	105	104	103	102	105	106	104	102	998	101	102	104
8815	102	102	101	101	102	102	102	105	101	103	102	105	102	103	104	102	102	101	102	102	102
8816	103	103	103	103	103	103	105	103	103	104	103	103	103	103	103	102	104	101	101	103	103
8817	102	102	102	101	102	101	102	104	101	104	102	102	102	102	105	104	102	102	102	102	102
8818	101	101	101	101	101	101	102	102	101	105	101	103	101	106	104	104	101	101	103	101	101
8819	101	102	101	102	102	999	102	105	101	104	102	102	101	103	101	103	102	102	101	102	101
8820	101	101	101	105	101	101	102	105	101	104	105	105	105	102	998	104	105	105	105	102	105
8821	103	103	103	103	103	103	104	105	103	105	104	103	103	104	105	102	103	999	103	103	103
8822	103	103	103	103	101	103	103	103	103	105	101	102	103	104	104	102	103	101	101	104	103
8823	999	103	103	104	103	999	103	104	101	105	103	103	103	105	106	104	104	104	104	101	104
8824	101	101	101	101	101	101	101	105	101	104	101	101	101	102	103	102	101	101	101	101	101
8825	103	102	103	102	101	103	104	996	104	104	105	104	102	102	101	103	103	998	101	102	104
8826	101	102	101	101	101	101	102	996	101	104	101	102	101	104	104	102	101	101	103	102	101
8827	103	103	103	103	103	103	105	996	103	105	103	101	103	105	101	102	103	103	101	104	103
8828	101	101	101	101	101	101	102	996	101	105	101	106	101	104	104	102	102	101	105	102	101
