	a101	a102	a103	a105	a107	a108
8432	101	101	101	101	101	101
8433	101	101	101	101	101	101
8434	102	102	101	101	101	101
8435	999	102	102	101	102	999
8436	999	102	102	101	102	999
8437	101	101	101	101	101	101
8438	999	103	103	103	101	103
8439	101	101	101	101	101	101
8440	102	101	102	102	102	102
8441	101	101	101	101	103	101
8442	103	103	103	103	101	103
8443	999	102	102	101	102	101
8444	101	101	103	101	101	999
8445	101	102	101	102	101	101
8446	102	102	102	102	102	999
8447	102	102	101	101	101	101
8448	101	102	101	101	101	101
8449	103	103	103	103	101	103
8450	103	102	102	102	102	999
8451	101	104	103	104	101	103
8452	102	101	101	101	101	101
8453	101	101	101	101	101	101
8454	101	103	103	104	101	999
8455	101	102	101	101	101	101
8456	102	102	102	102	102	102
8557	105	105	101	105	101	105
8558	101	101	101	101	102	999
8559	102	102	102	102	102	102
8560	101	101	101	101	101	101
8561	101	101	101	101	101	101
8562	999	102	102	102	102	999
8563	103	999	103	102	999	999
8564	101	102	103	104	101	999
8565	103	102	103	103	101	103
8566	103	102	103	103	101	103
8567	101	101	101	101	101	101
8568	103	104	103	101	101	103
8569	103	102	103	103	102	103
8570	101	102	101	101	101	101
8571	103	102	103	104	101	103
8572	101	101	101	101	101	101
8573	101	101	101	101	101	101
8574	999	102	102	102	102	999
8575	103	103	103	103	101	103
8576	101	102	101	102	999	999
8577	103	103	103	103	101	103
8578	103	104	103	103	101	103
8579	101	101	101	101	101	101
8580	101	101	101	101	101	101
8581	101	101	101	101	101	101
8682	101	102	101	101	101	101
8683	102	102	102	101	101	102
8684	101	101	101	101	101	101
8685	101	101	101	101	101	101
8686	999	102	102	101	101	999
8687	103	103	103	102	103	103
8688	101	102	101	101	101	101
8689	101	103	103	101	103	103
8690	101	101	101	101	101	101
8691	103	101	103	101	103	103
8692	101	101	101	101	101	101
8693	102	102	102	102	102	102
8694	103	104	103	102	102	103
8695	105	105	101	105	105	105
8696	103	103	103	103	103	103
8697	103	101	103	103	103	103
8698	102	103	103	103	103	103
8699	102	102	101	104	101	999
8700	103	103	103	103	103	103
8701	999	102	102	102	102	999
8702	999	102	102	102	102	999
8703	102	102	102	102	102	102
8704	102	102	102	102	102	102
8705	103	103	103	103	103	103
8706	101	101	101	101	101	101
8804	102	102	102	102	102	102
8805	101	101	101	101	101	101
8806	101	101	101	101	101	101
8807	102	999	103	103	101	999
8808	103	101	103	103	103	103
8809	102	102	102	102	104	999
8810	103	103	103	101	101	103
8811	999	102	103	104	101	999
8812	103	103	103	101	101	101
8813	102	104	102	104	102	104
8814	103	102	102	102	102	102
8815	102	102	101	101	102	102
8816	103	103	103	103	103	103
8817	102	102	102	101	102	101
8818	101	101	101	101	101	101
8819	101	102	101	102	102	999
8820	101	101	101	105	101	101
8821	103	103	103	103	103	103
8822	103	103	103	103	101	103
8823	999	103	103	104	103	999
8824	101	101	101	101	101	101
8825	103	102	103	102	101	103
8826	101	102	101	101	101	101
8827	103	103	103	103	103	103
8828	101	101	101	101	101	101
