	a101	a102	a103	a105	a107	a108
8457	102	102	104	104	101	104
8458	101	108	101	108	101	101
8459	101	108	101	108	101	101
8460	101	108	101	108	101	108
8461	101	109	102	103	103	109
8462	102	103	102	102	102	102
8463	102	102	102	102	102	102
8464	102	102	102	102	104	102
8465	101	108	101	108	108	101
8466	101	101	102	101	109	101
8467	104	104	104	104	104	104
8468	102	101	102	102	102	102
8469	101	101	102	102	102	102
8470	102	102	102	101	109	102
8471	101	102	101	101	101	101
8472	101	108	106	104	108	108
8473	101	101	102	103	102	102
8474	101	108	102	108	101	101
8475	103	103	103	103	103	999
8476	101	101	101	101	101	101
8477	101	101	101	101	101	101
8478	101	108	101	101	108	101
8479	102	102	102	102	102	102
8480	101	101	102	103	103	109
8481	101	101	101	103	102	102
8582	102	102	102	102	102	102
8583	101	101	102	101	101	101
8584	101	101	101	108	101	108
8585	101	101	102	101	101	102
8586	102	102	102	101	101	101
8587	102	102	102	101	102	102
8588	101	108	101	108	101	108
8589	101	101	102	102	101	101
8590	101	102	102	102	101	102
8591	102	102	102	102	101	102
8592	102	109	102	102	101	102
8593	101	101	101	101	109	102
8594	102	102	102	102	102	102
8595	101	101	101	101	101	108
8596	101	102	102	102	102	101
8597	101	101	101	101	108	101
8598	102	101	102	102	101	102
8599	102	102	102	102	102	102
8600	101	108	106	108	108	101
8601	101	101	101	101	101	101
8602	101	108	102	108	101	101
8603	101	101	102	101	101	102
8604	101	101	101	101	108	101
8605	101	109	102	102	101	101
8606	101	108	101	108	101	101
8707	102	102	102	102	102	102
8708	101	108	101	107	107	101
8709	102	101	102	101	101	102
8710	102	102	102	101	101	102
8711	101	108	101	108	108	108
8712	105	105	101	108	108	101
8713	102	102	102	102	102	102
8714	101	101	101	999	109	101
8715	102	101	102	102	102	102
8716	101	101	106	101	108	999
8717	102	102	102	102	102	102
8718	101	108	101	108	108	101
8719	102	102	102	102	102	102
8720	102	102	102	102	102	102
8721	102	102	102	102	102	102
8722	102	103	101	103	103	102
8723	101	108	101	108	108	108
8724	102	101	101	101	101	109
8725	999	999	999	999	999	999
8726	102	102	102	101	102	101
8727	102	102	102	102	102	102
8728	102	102	102	102	102	102
8729	101	108	105	108	108	108
8730	102	101	102	102	102	102
8829	101	108	102	108	108	101
8830	101	108	101	108	108	108
8831	102	101	102	101	101	101
8832	101	103	101	101	101	102
8833	101	109	102	108	108	101
8834	102	102	102	102	102	102
8835	103	103	103	103	103	999
8836	102	104	102	101	111	102
8837	101	102	102	108	102	101
8838	102	102	102	102	102	102
8839	102	102	102	102	102	102
8840	101	101	101	101	101	101
8841	101	101	102	101	101	101
8842	102	102	102	102	102	101
8843	101	108	101	108	108	108
8844	101	102	102	102	102	102
8845	101	101	101	101	101	101
8846	102	103	101	101	103	101
8847	101	108	101	108	108	108
8848	101	101	101	101	101	101
8849	101	102	102	101	109	103
8850	102	101	102	102	109	101
8851	101	108	102	108	108	101
8852	101	102	102	101	101	101
8853	101	108	101	108	108	101
