	a101	a102	a105	a107	a108
7934	102	102	102	102	102
7935	102	103	102	103	103
7936	105	105	105	105	104
7937	101	101	101	101	101
7938	105	105	104	104	104
7939	108	104	108	108	104
7940	999	108	108	108	108
7941	102	103	103	103	102
7942	102	102	102	102	103
7943	105	105	105	105	104
7944	105	105	105	105	104
7945	102	102	103	102	102
7946	105	105	105	105	105
7947	102	102	102	102	102
7948	102	103	102	103	103
7949	999	999	999	101	999
7950	105	105	105	105	105
7951	999	999	999	999	101
7952	102	102	102	102	102
7953	102	102	103	102	103
7954	105	105	105	105	105
7955	999	108	106	106	101
7956	108	108	108	108	108
7957	999	108	108	108	108
7958	102	102	102	103	103
8058	106	106	104	106	106
8059	101	101	101	101	101
8060	105	105	105	101	105
8061	102	103	102	102	102
8062	101	101	101	101	101
8063	105	104	105	104	104
8064	102	102	104	101	101
8065	101	101	101	104	107
8066	105	101	101	101	101
8067	106	106	106	104	106
8068	101	101	107	101	101
8069	105	105	105	105	105
8070	104	101	101	101	101
8071	104	102	103	103	104
8072	106	104	104	103	103
8073	105	102	105	104	104
8074	102	103	103	106	103
8075	999	108	108	108	108
8076	104	103	103	104	104
8077	102	103	106	104	104
8078	102	110	110	110	103
8079	102	103	102	102	103
8080	105	105	105	104	105
8081	105	104	105	104	104
8082	108	108	108	108	108
8182	102	102	104	102	106
8183	105	105	105	104	105
8184	101	101	101	101	101
8185	102	103	104	103	103
8186	104	104	104	104	104
8187	105	105	105	105	105
8188	105	105	105	105	104
8189	101	101	101	105	104
8190	106	106	104	106	106
8191	105	105	102	105	103
8192	102	102	103	107	107
8193	102	110	103	106	110
8194	102	103	102	102	102
8195	105	103	102	102	103
8196	105	102	102	103	104
8197	102	102	103	103	103
8198	105	105	105	104	104
8199	999	999	999	999	999
8200	999	999	999	101	999
8201	105	101	105	104	104
8202	102	102	103	110	103
8203	102	105	103	103	103
8204	102	103	102	106	104
8205	105	105	105	104	104
8206	102	103	103	103	103
8307	102	104	104	103	106
8308	105	105	105	105	105
8309	105	105	105	105	105
8310	102	104	103	103	104
8311	108	104	104	108	108
8312	999	999	999	101	999
8313	101	101	107	107	104
8314	102	103	102	103	102
8315	101	102	104	106	104
8316	104	103	104	104	107
8317	105	104	105	104	104
8318	102	102	102	102	102
8319	106	106	106	106	106
8320	102	104	106	108	102
8321	105	107	107	107	107
8322	103	102	109	103	102
8323	999	999	999	999	999
8324	999	999	999	104	999
8325	106	104	106	108	104
8326	105	106	105	105	105
8327	105	104	105	104	104
8328	102	101	101	101	101
8329	999	999	999	101	101
8330	102	102	102	102	102
8331	105	105	102	104	103
