	a101	a102	a103	a105	a107	a108
8607	101	102	102	102	101	101
8608	102	106	102	106	102	102
8609	106	106	102	102	102	106
8610	103	103	103	103	102	102
8611	102	102	102	101	101	102
8612	102	106	102	101	101	101
8613	103	103	103	103	103	103
8614	101	101	102	101	101	101
8615	101	102	103	101	101	101
8616	101	101	101	101	101	101
8617	101	102	101	101	102	101
8618	101	102	101	101	101	102
8619	102	101	104	104	104	104
8620	103	103	103	101	103	103
8621	102	101	102	101	101	106
8622	104	104	104	104	104	104
8623	102	106	101	101	101	101
8624	101	103	103	101	101	102
8625	101	102	101	102	101	101
8626	999	999	999	999	102	999
8627	101	101	102	101	101	102
8628	999	999	999	999	999	999
8629	103	102	103	101	102	102
8630	102	101	102	101	101	101
8631	101	102	102	101	101	101
8731	101	102	102	102	102	101
8732	101	101	101	101	102	101
8733	104	104	104	104	104	104
8734	102	103	102	102	102	102
8735	999	999	999	999	999	999
8736	103	103	102	103	103	103
8737	101	102	102	102	102	102
8738	101	106	106	102	106	106
8739	103	103	103	103	103	103
8740	103	103	103	103	103	103
8741	101	101	102	101	101	101
8742	102	101	102	101	101	102
8743	999	102	102	102	102	101
8744	105	105	105	105	105	105
8745	101	101	102	101	101	101
8746	101	101	102	101	101	101
8747	101	101	102	101	101	101
8748	101	103	102	103	103	103
8749	102	102	102	101	101	102
8750	102	102	102	101	101	102
8751	102	102	102	101	102	102
8752	102	102	102	102	102	102
8753	102	101	102	101	101	101
8754	103	103	103	103	103	103
8755	102	102	102	101	101	102
8854	102	102	102	102	102	102
8855	102	102	102	102	102	102
8856	102	102	102	102	106	102
8857	101	101	103	103	103	103
8858	103	103	103	103	107	103
8859	102	102	102	102	102	101
8860	101	102	102	101	101	101
8861	102	101	102	102	102	101
8862	102	102	106	102	102	102
8863	102	102	102	102	102	102
8864	102	102	102	101	102	101
8865	102	101	102	101	101	102
8866	101	101	102	101	101	101
8867	101	102	102	101	101	101
8868	101	101	102	101	101	104
8869	102	103	102	103	102	103
8870	104	104	104	104	104	104
8871	104	102	102	104	104	104
8872	102	101	102	102	102	102
8873	102	102	102	102	102	101
8874	102	102	102	102	101	102
8875	102	101	102	101	101	101
8876	101	101	104	104	101	101
8877	104	104	104	101	104	104
8878	101	102	102	102	101	101
