	a101	a102	a105	a107	a108
7959	101	101	101	101	999
7960	104	104	104	104	104
7961	103	103	102	102	102
7962	103	108	103	108	999
7963	999	999	999	999	999
7964	999	999	999	999	999
7965	102	103	102	103	102
7966	105	103	103	103	103
7967	103	103	103	103	102
7968	101	107	107	107	104
7969	999	999	999	106	999
7970	102	103	101	103	104
7971	102	102	102	102	102
7972	101	101	101	101	101
7973	101	101	101	101	101
7974	107	107	101	104	107
7975	103	102	102	102	102
7976	102	108	102	102	102
7977	101	101	101	101	101
7978	103	103	103	103	103
7979	103	102	102	102	102
7980	103	103	103	103	103
7981	102	102	103	103	103
7982	103	103	103	103	102
7983	101	101	101	101	101
8083	999	999	999	999	999
8084	103	103	103	105	999
8085	102	102	102	102	102
8086	999	999	999	999	999
8087	103	101	103	103	103
8088	106	103	102	106	106
8089	103	103	103	103	103
8090	101	101	101	101	101
8091	103	103	103	103	103
8092	999	999	999	999	999
8093	999	101	101	103	999
8094	999	999	999	999	999
8095	999	999	999	999	999
8096	103	103	103	103	103
8097	103	103	102	103	103
8098	999	999	999	999	999
8099	103	103	103	103	103
8100	105	105	102	105	999
8101	102	102	102	102	102
8102	999	999	999	999	999
8103	103	101	103	103	104
8104	106	106	106	106	106
8105	103	103	103	103	103
8106	999	999	999	101	999
8107	999	999	999	999	999
8207	999	999	999	999	999
8208	102	102	102	102	102
8209	103	103	103	103	102
8210	999	999	999	999	999
8211	103	104	107	107	104
8212	102	108	107	107	102
8213	105	108	105	105	105
8214	103	103	103	103	103
8215	999	999	999	999	999
8216	105	108	108	108	108
8217	101	101	101	101	101
8218	103	108	105	105	105
8219	102	102	102	102	102
8220	103	103	103	103	103
8221	103	103	103	103	103
8222	101	107	107	107	107
8223	103	101	103	103	103
8224	102	102	103	102	999
8225	101	101	101	101	101
8226	102	102	102	102	102
8227	103	103	103	103	102
8228	102	102	104	104	102
8229	101	101	101	101	101
8230	103	103	103	103	103
8231	999	999	999	999	999
8332	101	101	101	101	101
8333	103	103	103	103	102
8334	999	999	999	999	999
8335	999	999	999	999	999
8336	103	103	103	103	102
8337	102	102	102	102	102
8338	103	101	103	103	104
8339	103	103	102	102	103
8340	101	101	101	101	101
8341	999	999	999	999	999
8342	102	102	999	102	999
8343	101	101	103	101	101
8344	103	103	103	103	103
8345	103	105	103	103	105
8346	101	101	101	101	101
8347	103	103	103	103	103
8348	101	101	103	101	101
8349	101	101	101	101	101
8350	103	103	103	103	103
8351	999	999	999	999	999
8352	999	999	102	102	999
8353	103	108	108	108	103
8354	102	102	103	102	102
8355	103	103	103	105	999
8356	101	101	101	101	101
