	a101	a102	a105	a107	a108
7984	101	101	105	105	105
7985	103	103	103	103	103
7986	102	102	102	102	102
7987	102	102	102	102	102
7988	102	102	102	102	102
7989	102	101	105	105	105
7990	101	101	101	101	101
7991	101	101	105	105	105
7992	102	102	102	102	102
7993	102	102	107	102	102
7994	107	102	107	102	107
7995	102	102	102	102	102
7996	102	102	102	102	102
7997	101	102	104	102	102
7998	101	101	101	103	103
7999	101	101	999	101	999
8000	101	102	101	101	101
8001	101	104	101	101	101
8002	102	102	102	102	102
8003	101	104	105	105	105
8004	101	105	105	105	105
8005	102	102	102	102	102
8006	999	999	999	102	999
8007	106	106	106	106	106
8108	101	101	101	101	101
8109	101	102	102	102	102
8110	102	102	102	102	102
8111	101	101	104	101	104
8112	101	101	101	101	101
8113	101	101	101	101	101
8114	102	102	102	102	102
8115	101	101	101	101	101
8116	102	102	102	102	102
8117	103	103	106	103	103
8118	102	102	107	107	107
8119	107	107	102	102	107
8120	101	101	101	101	102
8121	102	101	102	102	102
8122	101	101	101	101	101
8123	101	101	101	102	102
8124	103	102	103	103	999
8125	102	102	102	102	102
8126	101	101	101	101	101
8127	999	999	999	999	999
8128	999	999	999	101	999
8129	105	101	105	105	105
8130	999	999	999	999	999
8131	102	102	999	102	102
8132	102	102	999	102	999
8232	105	105	105	105	105
8233	102	102	102	107	102
8234	101	101	101	101	101
8235	102	102	102	102	102
8236	102	102	107	107	107
8237	101	102	102	102	102
8238	102	102	102	102	102
8239	102	102	102	102	102
8240	101	101	101	101	101
8241	102	107	107	107	107
8242	102	102	102	102	102
8243	102	102	107	107	107
8244	105	105	105	105	105
8245	102	101	101	101	102
8246	102	107	107	102	107
8247	102	102	102	102	102
8248	105	105	105	105	105
8250	105	105	105	105	105
8251	103	101	101	103	101
8252	105	105	105	105	105
8253	105	105	105	105	105
8254	101	105	105	105	105
8255	103	101	101	103	101
8357	101	101	101	101	101
8358	999	103	103	103	999
8359	102	102	999	102	999
8360	105	105	105	105	105
8361	101	104	101	102	102
8362	102	103	104	102	102
8363	101	102	101	102	999
8364	101	101	101	101	101
8365	102	102	102	102	102
8366	105	105	105	103	105
8367	999	103	999	103	999
8368	101	102	101	101	101
8369	102	102	102	102	102
8370	102	102	102	107	107
8371	102	102	102	102	102
8372	999	999	999	999	999
8373	105	105	105	105	105
8374	102	102	102	102	102
8375	999	999	103	999	999
8376	102	101	101	101	101
8377	102	102	102	107	107
8378	999	101	101	101	101
8379	101	102	101	102	101
8380	101	101	104	101	999
8381	101	102	101	101	101
